Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,52.640999,52.660000,52.509998,52.554001,49.043869,2800
2020-01-23,52.308998,52.720001,52.264999,52.669998,49.152122,30200
2020-01-24,52.430000,52.450001,51.381001,51.860001,48.396225,22000
2020-01-27,51.400002,51.400002,50.872002,50.872002,47.474209,8800
2020-01-28,51.465000,51.465000,51.270000,51.289001,47.863369,2600
2020-01-29,51.250000,51.250000,50.901001,50.901001,47.501274,4200
2020-01-30,50.619999,50.823002,50.220001,50.823002,47.428478,4700
2020-01-31,49.924999,49.924999,49.450001,49.511002,46.204117,4200
2020-02-03,49.897999,50.040001,49.779999,49.824001,46.496208,2800
2020-02-04,50.669998,50.720001,50.466000,50.466000,47.095322,9400
2020-02-05,51.375000,51.910000,51.375000,51.830002,48.368229,6500
2020-02-06,51.759998,51.759998,51.501999,51.501999,48.062130,5000
2020-02-07,50.889999,50.970001,50.695000,50.741001,47.351963,8200
2020-02-10,50.674999,50.674999,50.500000,50.632999,47.251175,4700
2020-02-11,51.410000,51.430000,51.235001,51.235001,47.812965,2900
2020-02-12,51.770000,51.770000,51.480000,51.716000,48.261841,4400
2020-02-13,51.549999,51.700001,51.549999,51.681999,48.230110,2200
2020-02-14,51.639999,51.639999,51.189999,51.313000,47.885754,114900
2020-02-18,51.459999,51.459999,50.605000,50.896999,47.497547,11500
2020-02-19,51.299999,51.449001,51.299000,51.388000,47.955742,1900
2020-02-20,51.698002,51.900002,51.429001,51.686001,48.233845,3700
2020-02-21,50.959999,51.150002,50.919998,50.993999,47.588058,13600
2020-02-24,50.500000,50.500000,48.900002,49.104000,45.824299,28000
2020-02-25,49.200001,49.200001,47.005001,47.160000,44.010143,21900
2020-02-26,47.650002,47.650002,46.084999,46.157001,43.074139,32600
2020-02-27,45.580002,46.020000,44.080002,44.497002,41.525009,25600
2020-02-28,43.419998,44.290001,43.162998,43.930000,40.995872,74900
2020-03-02,44.299999,44.900002,43.360001,44.900002,41.901089,51200
2020-03-03,45.599998,45.599998,43.243999,43.605000,40.692581,28900
2020-03-04,44.000000,44.574001,43.509998,44.574001,41.596863,52000
2020-03-05,43.419998,43.419998,42.150002,42.303001,39.477547,36600
2020-03-06,41.400002,42.189999,40.660000,41.363998,38.601269,34800
2020-03-09,38.000000,38.020000,36.480000,36.480000,34.043468,31200
2020-03-10,37.730000,37.820000,35.919998,37.709999,35.191315,86600
2020-03-11,36.090000,37.029999,34.882000,35.290001,32.932945,99300
2020-03-12,32.220001,33.231998,31.340000,31.340000,29.246771,157700
2020-03-13,34.209999,34.259998,31.202000,34.119999,31.841087,128200
2020-03-16,33.740002,33.740002,29.600000,29.790001,27.800299,473400
2020-03-17,30.600000,33.509998,29.374001,31.250000,29.162786,216100
2020-03-18,29.690001,30.360001,26.860001,27.500000,25.663248,157600
2020-03-19,28.100000,29.610001,27.260000,29.221001,27.269302,119900
2020-03-20,29.450001,30.299999,27.950001,27.952000,26.085058,143700
2020-03-23,29.740000,29.740000,26.670000,27.469999,25.635254,61400
2020-03-24,28.770000,30.299999,28.770000,30.290001,28.374329,93800
2020-03-25,29.650000,31.980000,29.650000,30.790001,28.842709,118000
2020-03-26,31.190001,32.919998,31.190001,32.250000,30.210371,94900
2020-03-27,31.320000,31.790001,30.739000,30.739000,28.794931,45200
2020-03-30,30.799999,31.440001,30.150000,31.120001,29.151836,83300
2020-03-31,31.245001,31.790001,30.650000,31.129999,29.161198,157900
2020-04-01,29.920000,29.959999,28.870001,29.030001,27.194016,33000
2020-04-02,29.370001,30.200001,28.680000,29.291000,27.438511,61700
2020-04-03,29.200001,29.200001,28.004999,28.520000,26.716269,86900
2020-04-06,30.490000,30.969999,30.337000,30.969999,29.011320,31200
2020-04-07,32.250000,33.410000,31.396999,31.660000,29.657684,34200
2020-04-08,31.930000,33.279999,31.930000,33.200001,31.100288,41200
2020-04-09,34.750000,35.560001,34.299999,34.889999,32.683407,108700
2020-04-13,35.139999,35.139999,33.369999,33.799999,31.662340,96200
2020-04-14,34.549999,34.700001,33.652000,33.937000,31.790678,115600
2020-04-15,32.360001,32.650002,31.860001,32.165001,30.130743,103700
2020-04-16,32.700001,32.700001,31.165001,31.709999,29.704519,63700
2020-04-17,32.570000,33.580002,32.570000,33.512001,31.392550,40400
2020-04-20,33.750000,33.750000,32.465000,32.844002,30.766802,256300
2020-04-21,32.000000,32.598999,31.900000,32.292000,30.249708,31400
2020-04-22,33.259998,33.259998,32.340000,32.507999,30.452051,133700
2020-04-23,33.070000,33.570000,32.900002,33.119999,31.025339,54800
2020-04-24,33.377998,33.810001,32.889999,33.529999,31.409409,142600
2020-04-27,34.200001,35.529999,34.200001,35.311001,33.077778,177400
2020-04-28,35.900002,36.599998,35.509998,36.250000,33.957386,128700
2020-04-29,37.849998,39.000000,37.700001,38.849998,36.392956,125300
2020-04-30,37.590000,38.016998,37.349998,37.520000,35.147064,138900
2020-05-01,36.209999,36.209999,35.188999,35.570000,33.320396,167200
2020-05-04,36.000000,36.000000,35.000000,35.630001,33.376598,139300
2020-05-05,36.910000,36.939999,35.259998,35.360001,33.123680,38100
2020-05-06,35.279999,35.279999,34.619999,34.639999,32.449211,74700
2020-05-07,35.259998,35.799999,35.230000,35.270000,33.039371,991500
2020-05-08,35.849998,37.259998,35.849998,37.206001,34.852924,51000
2020-05-11,36.889999,36.889999,35.939999,36.439999,34.135368,46900
2020-05-12,36.220001,36.220001,34.820000,34.869999,32.664673,47900
2020-05-13,34.650002,34.650002,32.750000,33.290001,31.184595,41200
2020-05-14,32.099998,33.570000,31.620001,33.570000,31.446886,55800
2020-05-15,33.200001,34.080002,33.200001,33.970001,31.821590,37200
2020-05-18,36.220001,37.180000,36.020000,37.020000,34.678696,35800
2020-05-19,36.509998,37.150002,36.110001,36.110001,33.826248,30700
2020-05-20,36.889999,37.570000,36.889999,37.360001,34.997200,60200
2020-05-21,37.410000,37.820000,37.209999,37.610001,35.231384,61400
2020-05-22,37.330002,37.599998,37.007999,37.560001,35.184536,52900
2020-05-26,39.330002,39.840000,39.230000,39.480000,36.983112,48400
2020-05-27,40.529999,41.490002,39.950001,41.439999,38.819153,637000
2020-05-28,41.310001,41.310001,39.750000,39.880001,37.357811,373800
2020-05-29,39.500000,39.740002,38.840000,39.369999,36.880074,105900
2020-06-01,39.240002,40.340000,39.240002,39.860001,37.339077,44000
2020-06-02,40.599998,40.799999,40.220001,40.590000,38.022911,49800
2020-06-03,41.715000,42.529999,41.715000,42.279999,39.606022,54900
2020-06-04,42.259998,43.209999,41.880001,43.180000,40.449104,73500
2020-06-05,46.450001,46.450001,45.150002,45.422001,42.549316,47700
2020-06-08,46.959999,47.099998,46.470001,47.099998,44.121185,67000
2020-06-09,45.889999,45.959999,44.994999,45.463001,42.587727,46100
2020-06-10,45.000000,45.000000,43.299999,43.310001,40.570885,33600
2020-06-11,41.689999,41.689999,39.230000,39.320000,36.833233,57700
2020-06-12,40.860001,41.264999,39.570000,40.720001,38.144695,31100
2020-06-15,39.310001,41.509998,39.270000,41.349998,38.734840,17100
2020-06-16,43.060001,43.450001,41.810001,42.610001,39.915157,70000
2020-06-17,42.849998,42.849998,41.410000,41.470001,38.847256,45100
2020-06-18,41.110001,41.880001,40.720001,41.324001,38.710491,60500
2020-06-19,42.419998,42.419998,40.340000,40.820000,38.238373,61600
2020-06-22,40.529999,41.014000,40.389999,40.959999,38.369503,60800
2020-06-23,41.509998,41.520000,40.810001,40.910000,38.451279,85900
2020-06-24,40.669998,40.669998,38.720001,39.150002,36.797058,31900
2020-06-25,38.990002,39.770000,38.639999,39.660000,37.276402,37800
2020-06-26,39.200001,39.200001,38.193001,38.355999,36.050774,31200
2020-06-29,39.000000,40.145000,38.619999,39.930000,37.530182,58100
2020-06-30,40.070000,40.619999,39.849998,40.509998,38.075317,15400
2020-07-01,40.689999,40.799999,39.500000,39.529999,37.154221,27800
2020-07-02,40.790001,40.980000,39.779999,39.869999,37.473782,29200
2020-07-06,41.270000,41.270000,40.044998,40.450001,38.018921,43500
2020-07-07,39.799999,40.070000,39.275002,39.360001,36.994434,38500
2020-07-08,39.560001,39.750000,39.000000,39.750000,37.360992,33000
2020-07-09,39.669998,39.669998,38.250000,38.449001,36.138180,16800
2020-07-10,38.990002,39.639999,38.599998,39.639999,37.257607,59100
